No.,Player,Age,Pos,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb
22,Thomas Jones\JoneTh00,25,,16,3,137,627,3,61,4.6,39.2,8.6,31,24,180,7.5,0,29,1.5,11.3,77.4%,5.8,161,5.0,807,3,4
27,Aaron Stecker\StecAa00,28,,16,1,37,125,0,15,3.4,7.8,2.3,12,9,48,5.3,1,14,0.6,3.0,75.0%,4.0,46,3.8,173,1,1
40,Mike Alstott\AlstMi00,30,,4,3,27,77,2,29,2.9,19.3,6.8,12,10,83,8.3,0,17,2.5,20.8,83.3%,6.9,37,4.3,160,2,0
14,Brad Johnson\JohnBr00,35,QB,16,16,25,33,0,13,1.3,2.1,1.6,1,0,-2,,0,-2,0.0,-0.1,0.0%,-2.0,25,1.2,31,0,6
10,Shaun King\KingSh00,26,,3,0,4,20,0,12,5.0,6.7,1.3,,,,,,,,,,,4,5.0,20,0,0
82,Charles Lee\LeexCh00,26,wr,8,5,2,14,0,8,7.0,1.8,0.3,46,33,432,13.1,2,72,4.1,54.0,71.7%,9.4,35,12.7,446,2,0
43,Jameel Cook\CookJa00,24,FB,14,8,1,-1,0,-1,-1.0,-0.1,0.1,30,20,120,6.0,1,19,1.4,8.6,66.7%,4.0,21,5.7,119,1,0
86,Karl Williams\WillKa00,32,,13,0,1,2,0,2,2.0,0.2,0.1,17,7,114,16.3,0,43,0.5,8.8,41.2%,6.7,8,14.5,116,0,0
87,Keenan McCardell*\McCaKe00,33,WR,16,16,0,0,0,0,,0.0,0.0,139,84,1174,14.0,8,76,5.3,73.4,60.4%,8.4,84,14.0,1174,8,1
19,Keyshawn Johnson\JohnKe00,31,WR,10,10,0,0,0,0,,0.0,0.0,74,45,600,13.3,3,39,4.5,60.0,60.8%,8.1,45,13.3,600,3,0
85,Ken Dilger\DilgKe00,32,TE,15,15,0,0,0,0,,0.0,0.0,41,22,244,11.1,1,48,1.5,16.3,53.7%,6.0,22,11.1,244,1,1
83,Joe Jurevicius\JureJo00,29,,5,2,0,0,0,0,,0.0,0.0,24,12,118,9.8,2,22,2.4,23.6,50.0%,4.9,12,9.8,118,2,0
88,Rickey Dudley\DudlRi00,31,,7,2,0,0,0,0,,0.0,0.0,11,7,42,6.0,1,9,1.0,6.0,63.6%,3.8,7,6.0,42,1,0
80,Todd Yoder\YodeTo00,25,,16,1,0,0,0,0,,0.0,0.0,11,7,68,9.7,2,20,0.4,4.3,63.6%,6.2,7,9.7,68,2,0
99,Warren Sapp*\SappWa00,31,RDT,15,15,0,0,0,0,,0.0,0.0,4,4,39,9.8,2,18,0.3,2.6,100.0%,9.8,4,9.8,39,2,0
3,Edell Shepherd\ShepEd00,23,,2,0,0,0,0,0,,0.0,0.0,6,4,38,9.5,0,14,2.0,19.0,66.7%,6.3,4,9.5,38,0,0
84,Reggie Barlow\BarlRe00,30,,11,0,0,0,0,0,,0.0,0.0,6,3,27,9.0,1,13,0.3,2.5,50.0%,4.5,3,9.0,27,1,1
89,Will Heller\HellWi00,22,,9,1,0,0,0,0,,0.0,0.0,4,2,15,7.5,1,11,0.2,1.7,50.0%,3.8,2,7.5,15,1,0
30,Darian Barnes\BarnDa00,23,,14,0,0,0,0,0,,0.0,0.0,1,1,6,6.0,0,6,0.1,0.4,100.0%,6.0,1,6.0,6,0,0
24,Cadillac Williams\WillCa02,24,RB,14,14,225,798,1,38,3.5,57.0,16.1,44,30,196,6.5,0,21,2.1,14.0,68.2%,4.5,255,3.9,994,1,3
40,Mike Alstott\AlstMi00,33,FB,16,15,60,171,3,17,2.9,10.7,3.8,38,21,85,4.0,0,18,1.3,5.3,55.3%,2.2,81,3.2,256,3,1
32,Michael Pittman\PittMi00,31,,16,3,50,245,1,32,4.9,15.3,3.1,76,47,405,8.6,0,25,2.9,25.3,61.8%,5.3,97,6.7,650,1,2
7,Bruce Gradkowski\GradBr00,23,QB,13,11,41,161,0,14,3.9,12.4,3.2,,,,,,,,,,,41,3.9,161,0,11
34,Earnest Graham\GrahEa00,26,,16,0,11,59,0,17,5.4,3.7,0.7,4,1,4,4.0,0,4,0.1,0.3,25.0%,1.0,12,5.3,63,0,0
80,Michael Clayton\ClayMi00,24,WR,12,9,5,41,0,27,8.2,3.4,0.4,65,33,356,10.8,1,27,2.8,29.7,50.8%,5.5,38,10.4,397,1,2
13,Tim Rattay\RattTi00,29,,4,2,4,3,0,4,0.8,0.8,1.0,,,,,,,,,,,4,0.8,3,0,2
2,Chris Simms\SimmCh00,26,,3,3,4,7,1,3,1.8,2.3,1.3,,,,,,,,,,,4,1.8,7,1,0
84,Joey Galloway\GallJo00,35,WR,16,14,2,9,0,7,4.5,0.6,0.1,143,62,1057,17.0,7,64,3.9,66.1,43.4%,7.4,64,16.7,1066,7,0
85,Maurice Stovall\StovMa00,21,,9,2,2,29,0,18,14.5,3.2,0.2,13,7,102,14.6,0,27,0.8,11.3,53.8%,7.8,9,14.6,131,0,0
81,Alex Smith\SmitAl02,24,te,14,7,0,0,0,0,,0.0,0.0,53,35,250,7.1,3,27,2.5,17.9,66.0%,4.7,35,7.1,250,3,1
19,Ike Hilliard\HillIk00,30,,16,0,0,0,0,0,,0.0,0.0,55,34,339,10.0,2,44,2.1,21.2,61.8%,6.2,34,10.0,339,2,3
88,Anthony Becht\BechAn00,29,TE,16,16,0,0,0,0,,0.0,0.0,26,18,115,6.4,1,13,1.1,7.2,69.2%,4.4,18,6.4,115,1,1
82,Paris Warren\WarrPa00,24,,8,0,0,0,0,0,,0.0,0.0,7,5,63,12.6,0,26,0.6,7.9,71.4%,9.0,5,12.6,63,0,0
86,Doug Jolley\JollDo00,27,,11,0,0,0,0,0,,0.0,0.0,2,1,7,7.0,0,7,0.1,0.6,50.0%,3.5,1,7.0,7,0,0
83,Dave Moore*\MoorDa00,37,,13,0,0,0,0,0,,0.0,0.0,1,1,9,9.0,0,9,0.1,0.7,100.0%,9.0,1,9.0,9,0,1
33,Jerald Sowell\SoweJe00,32,,11,0,0,0,0,0,,0.0,0.0,1,1,6,6.0,0,6,0.1,0.5,100.0%,6.0,1,6.0,6,0,0
